soi,Wh
-0.9,1.42392752
-0.7,1.826232266
-0.5,2.618255854
-1.2,2.237212936
-0.3,1.548846881
-0.8,1.499087691
-0.8,1.965570712
-0.9,1.602387746
-0.7,1.522184627
-1.1,1.167678881
-0.1,1.18106553
0.2,1.656030214
-0.1,2.592619002
0.3,1.919139703
-0.7,2.718493611
-1.3,2.005024115
-0.7,1.428413856
-0.4,1.770222306
-1.3,1.839950749
-1.2,1.685074707
-1.6,1.718941271
-1.1,1.422079017
-0.6,1.275556719
-1.2,1.594048841
-0.4,1.611014207
-0.1,2.133001179
0.8,1.528268266
-0.7,1.902509888
-0.4,1.593379927
0.1,2.10400125
0.4,1.208264738
0.3,1.752571617
0.3,1.312784128
0,1.266725004
0,1.604344802
-0.5,1.525461878
1,1.695147276
0.3,1.837640762
1.1,2.291546449
0.8,1.730488549
0.3,2.525109512
1.2,1.701379442
0.7,1.922768511
0.7,1.155160666
0.6,1.2242093
0.6,1.599825531
-0.1,1.564462026
0.9,1.631106533
0.5,2.386654238
1.7,1.777114713
-0.4,2.496504088
-0.6,1.70771529
-1.3,2.391618186
-1.4,2.099690485
-0.8,2.020951833
-1.4,1.680744648
-1.4,1.433650911
-1.5,1.436637208
-1.2,1.31044127
-1,1.654826552
-2.7,2.112281601
-2,1.650596329
-2.4,1.992919087
-1.4,2.276291966
0.3,1.86203084
1,1.832877602
1.2,1.762393168
1.2,2.002715179
1,1.995186337
1.1,1.844889641
1,1.67143751
1.4,1.770287395
1.8,2.041261937
1,2.64713378
1.3,1.670976894
1.4,2.186097304
0.2,2.391450448
0.3,1.937543054
0.5,2.494004703
0.4,1.791701496
-0.1,1.85299437
1,1.468697578
1,1.724725459
1.4,1.949070315
0.7,1.579672779
1.7,2.267824729
1.3,1.809119254
1.2,2.458023876
0.4,2.13875046
-0.2,2.301352637
-0.2,1.503070265
0.7,1.801042855
0.9,1.219322409
1.1,1.865443349
1.8,1.605726785
0.8,1.464111552
1,1.943672508
1.7,2.391649895
0.9,1.949850387
0.2,2.329546124
-0.5,1.435458399
0.3,1.880093336
-0.2,1.909116447
-0.4,1.469330139
0.2,1.449498042
0,1.268992345
0.7,1.361197968
-0.8,1.383972794
0.4,1.898627393
1.1,1.423610568
-0.2,1.978320405
-0.1,1.97452594
-0.8,1.739284532
-0.2,2.303677934
-0.5,1.699030995
-1,1.770984547
-0.6,1.255487561
-0.4,2.24646318
-0.5,1.312672873
-1.1,1.758838981
-0.2,1.740291166
-0.7,1.443424145
-0.3,2.04638503
-0.1,1.313666821
-0.3,2.451713264
-0.6,1.756894279
0.3,1.810316861
0.1,1.88212647
-0.1,1.050266743
0,1.597683271
-0.3,1.689568599
1.1,0.886222283
-1.3,1.81877776
1.2,1.700015962
0.4,2.000138223
-0.9,1.691218823
1,1.70882383
-0.8,2.251744509
-0.5,2.101727446
-0.3,1.360394438
-0.3,1.436175078
-0.1,2.136699224
-0.7,1.747517228
-0.8,1.455302477
0.3,1.594563762
-3.1,1.815125028
0.3,2.275970221
-0.6,2.113181293
-0.8,2.17039448
0.4,1.671685413
0.2,1.583009928
-0.3,1.296486199
0.4,1.578469515
1.2,1.315016717
-0.2,0.924512088
0,1.436857373
1.7,1.990741173
0.1,1.761207104
1.8,2.079895365
1.1,2.17154177
-0.5,2.242716789
-0.2,2.224572301
-0.6,2.13761875
-1,2.942028761
-0.6,1.397400141
-1.3,1.610025048
0.1,1.667540193
-0.3,1.477655917
-0.8,1.591644153
-0.1,2.277509212
0.2,2.364761531
-0.1,1.910037488
-0.1,2.038522929
0.5,1.504555583
-0.3,2.922533274
0.4,2.113281399
0.2,1.703676403
0.7,1.287020862
0.9,1.726309786
1.7,1.392363151
1.8,2.054628164
2.6,2.685311109
1.4,2.331903736
0.7,1.907419086
-0.1,2.002629797
0.6,2.34217608
0.3,1.632626225
1,1.559336707
1.2,1.777882033
1.3,1.631798631
1.3,1.397370622
1.4,0.9893804
1.1,1.816436259
1.9,2.05827646
0.4,2.510744916
0.8,2.092780829
-0.1,1.803292399
0.1,1.514955248
0.2,1.711904878
-0.2,1.50265363
0.3,1.643785771
-1.2,1.479026235
-0.6,1.469504193
-0.7,1.318885234
-1.1,1.296052995
-1.5,1.891669513
-0.7,2.236450219
1.2,2.100260824
0.9,1.697978995
0.4,1.890956585
1.8,1.785526006
1.8,1.27900676
2.2,1.280982689
1.7,1.776699617
1.3,2.222997357
2.9,1.435865554
2.3,2.338574073
2.7,2.013100288
2.5,1.777733075
1.9,1.865149289
0.4,1.849731813
0.2,1.621887657
1,1.649574736
0.4,1.76439935
1,1.457095189
0.8,1.409123581
1.1,1.32604162
2.5,2.436817957
1.1,1.883589696
0.5,1.592287164
0.7,2.161650333
-0.3,2.332904683
0,1.848545295
-0.4,2.359585942
0,2.183303219
-0.2,1.414326812
0.2,1.196637318
0.3,1.611481329
0.3,1.285822664
-0.6,1.367849467
-0.1,1.673758619
-0.2,2.099506227
1.5,2.53414987
0.2,1.709527454
0.8,1.775714194
1.2,1.701940936
0.8,2.181220737
0.2,1.334561352
0.3,1.807592632
-0.1,1.298273672
0.7,1.462742342
0.1,1.359006756
1.4,2.242280121
0.1,1.958846504
-0.9,2.291479552
0.8,1.816990856
0.5,1.985171249
0.2,1.432612583
-0.2,1.821647488
-0.7,1.988705347
-0.7,1.501791985
-0.6,1.290713903
-0.9,1.427706083
-0.6,1.479997274
-0.8,1.61111942
0.2,2.217011419
-0.7,1.666259764
0,1.630954796
-0.7,1.945503259
-0.6,2.046012843
-1.1,1.786622258
-1.4,1.179168495
-1.6,1.544268185
-1.7,1.847410292
-0.5,1.107902769
-0.6,1.562906566
-2.2,1.583172541
-2,2.138350068
-0.1,1.71898035
-1.2,2.049921861
0.4,1.207738266
0.6,1.714411409
0.4,1.627128256
0.7,1.998311465
1.2,1.258332291
-0.3,1.331388978
-0.1,1.651415573
0.3,1.343204488
0.2,1.541264386
-0.1,1.448710969
0.9,1.818978491
-0.2,2.435898395
0.3,1.839612835
-0.4,1.909030406
0.8,1.404223705
0.5,1.580964771
0.6,1.374923993
0.9,1.499205984
0.9,1.840850893
-0.1,1.38102872
1.1,1.41502902
-0.5,2.177662648
1.5,2.903292092
0.5,2.339218501
0.4,2.091991427
-0.1,1.765944537
0.2,1.146611734
-0.3,1.437753622
-0.9,1.56879859
0.4,1.530308491
-0.1,1.527879138
1,2.163388755