Date,Wh
1993-1,1.76222154
1993-2,2.69945002
1993-3,1.65884137
1993-4,2.5736959
1993-5,2.03277214
1993-6,1.84028089
1993-7,1.52569119
1993-8,1.55943958
1993-9,1.72271232
1993-10,1.04671049
1993-11,0.78202035
1993-12,1.26013011
1994-1,2.26490541
1994-2,1.13177923
1994-3,2.6002324
1994-4,1.75991058
1994-5,1.88065219
1994-6,1.29765403
1994-7,1.80581522
1994-8,2.36717041
1994-9,1.08446368
1994-10,0.97230719
1994-11,1.28783762
1994-12,1.55507366
1995-1,1.36220618
1995-2,1.81133906
1995-3,1.30486135
1995-4,1.73818296
1995-5,1.83851427
1995-6,1.2657562
1995-7,0.90487976
1995-8,1.92057564
1995-9,1.22833135
1995-10,1.86756901
1995-11,1.13258642
1995-12,1.22287141
1996-1,1.65707988
1996-2,1.28796138
1996-3,1.90110564
1996-4,1.28506325
1996-5,1.86456521
1996-6,1.71346736
1996-7,1.27559206
1996-8,1.50822474
1996-9,1.05839573
1996-10,1.47168019
1996-11,0.64609383
1996-12,1.18047391
1997-1,1.25958386
1997-2,1.39113339
1997-3,3.31719346
1997-4,1.91230673
1997-5,1.37107136
1997-6,2.13232211
1997-7,2.06879165
1997-8,1.28269452
1997-9,1.52562261
1997-10,1.52917963
1997-11,1.40418707
1997-12,1.08565564
1998-1,1.62704724
1998-2,1.45601839
1998-3,2.19688337
1998-4,1.67632623
1998-5,1.96568239
1998-6,1.57411283
1998-7,1.81504083
1998-8,1.59710473
1998-9,1.50548832
1998-10,1.24225911
1998-11,1.89230838
1998-12,2.20613186
1999-1,1.22973543
1999-2,1.48304125
1999-3,1.63371931
1999-4,1.69336924
1999-5,1.70010196
1999-6,1.7478199
1999-7,2.08467456
1999-8,2.23233163
1999-9,1.18046057
1999-10,1.20892791
1999-11,1.41326051
1999-12,1.53920468
2000-1,1.23920238
2000-2,1.54164386
2000-3,1.42881038
2000-4,1.86483502
2000-5,2.07848487
2000-6,2.13221219
2000-7,1.35305887
2000-8,1.18665094
2000-9,1.50136912
2000-10,1.72761729
2000-11,1.29051223
2000-12,1.16112608
2001-1,1.66067435
2001-2,1.78431749
2001-3,1.14494106
2001-4,1.91091338
2001-5,1.16557366
2001-6,2.3569173
2001-7,1.42011641
2001-8,1.27591878
2001-9,1.44935926
2001-10,0.826109
2001-11,1.20404916
2001-12,0.98249235
2002-1,1.18981897
2002-2,1.1102065
2002-3,1.71236441
2002-4,1.62872151
2002-5,1.52777992
2002-6,1.91696948
2002-7,1.28869379
2002-8,1.47661541
2002-9,1.25364479
2002-10,1.62547731
2002-11,1.53803445
2002-12,1.29248663
2003-1,1.3859024
2003-2,1.36611239
2003-3,1.6443271
2003-4,1.67311761
2003-5,1.55524573
2003-6,1.57152887
2003-7,2.6951542
2003-8,1.55934802
2003-9,1.44196024
2003-10,1.80307008
2003-11,1.37192322
2003-12,0.97915418
2004-1,0.88782438
2004-2,1.32725498
2004-3,2.11366258
2004-4,2.0164596
2004-5,1.35434734
2004-6,1.94568813
2004-7,1.30165414
2004-8,0.9207074
2004-9,1.44444048
2004-10,1.47584758
2004-11,1.49093937
2004-12,1.14122556
2005-1,2.00284923
2005-2,1.52894067
2005-3,1.51559302
2005-4,2.32199128
2005-5,1.75006631
2005-6,1.79702977
2005-7,2.53591771
2005-8,2.06138921
2005-9,0.94473768
2005-10,0.8189292
2005-11,1.10313743
2005-12,0.96958672
2006-1,2.11251879
2006-2,1.53839155
2006-3,2.15180306
2006-4,1.38172817
2006-5,1.9285996
2006-6,2.68001473
2006-7,1.82182236
2006-8,1.65372924
2006-9,3.29839993
2006-10,2.33829621
2006-11,1.70151862
2006-12,1.59398609
2007-1,1.4261519
2007-2,2.24001125
2007-3,1.92092228
2007-4,1.66358862
2007-5,1.5017432
2007-6,1.8490186
2007-7,1.56367793
2007-8,1.63424461
2007-9,0.81485003
2007-10,1.56291537
2007-11,1.22848579
2007-12,1.6373001
2008-1,2.04645157
2008-2,0.9375879
2008-3,1.96511592
2008-4,1.35268902
2008-5,1.74620612
2008-6,1.69724488
2008-7,1.75934067
2008-8,1.43947835
2008-9,1.53477347
2008-10,1.58853493
2008-11,1.01704543
2008-12,0.63999032
2009-1,1.68702521
2009-2,1.22198292
2009-3,1.99326816
2009-4,1.06906241
2009-5,1.86088411
2009-6,0.97289054
2009-7,1.54583244
2009-8,1.39164754
2009-9,1.4438534
2009-10,1.34138263
2009-11,1.36014814
2009-12,1.37783003
2010-1,1.32017305
2010-2,1.11769412
2010-3,2.76460163
2010-4,1.90178763
2010-5,1.24788503
2010-6,1.36944336
2010-7,1.55988956
2010-8,1.18060009
2010-9,1.26545041
2010-10,1.31187444
2010-11,1.67744915
2010-12,1.4687551
2011-1,1.90064201
2011-2,0.92170686
2011-3,0.91039207
2011-4,1.49328687
2011-5,1.83856722
2011-6,1.78896697
2011-7,1.81302008
2011-8,1.46673125
2011-9,1.54754707
2011-10,0.9233388
2011-11,1.27920517
2011-12,1.52114589
2012-1,1.09949437
2012-2,0.88410359
2012-3,1.71027269
2012-4,1.63531645
2012-5,2.24738242
2012-6,1.45316841
2012-7,2.08711915
2012-8,1.37323008
2012-9,1.5936963
2012-10,1.26776024
2012-11,1.40582969
2012-12,0.71808449
2013-1,2.48963434
2013-2,1.06773054
2013-3,1.79626576
2013-4,1.05081275
2013-5,1.29455583
2013-6,1.3810163
2013-7,1.98631705
2013-8,1.31644529
2013-9,0.90283218
2013-10,1.27432906
2013-11,1.17406669
2013-12,1.49399077
2014-1,2.52768512
2014-2,1.89206506
2014-3,1.94359761
2014-4,1.71521995
2014-5,1.66062033
2014-6,1.27374779
2014-7,1.48151478
2014-8,1.53565743
2014-9,1.05579449
2014-10,1.21855959
2014-11,1.24697801
2014-12,0.66359289
2015-1,1.63653648
2015-2,1.89285252
2015-3,1.135745
2015-4,1.18137089
2015-5,1.88297037
2015-6,2.00653546
2015-7,1.60404256
2015-8,1.40401446
2015-9,1.33069702
2015-10,1.71287805
2015-11,0.90067974
2015-12,1.28597159
2016-1,1.03793071
2016-2,1.42945697
2016-3,1.38123303
2016-4,1.37636109
2016-5,0.96579953
2016-6,1.31898803
2016-7,1.42959021
2016-8,2.02961899
2016-9,0.9077022
2016-10,0.97627933
2016-11,1.18891586
2016-12,1.21518793
2017-1,1.36919529
2017-2,1.51586949
2017-3,1.42001577
2017-4,1.93395263
2017-5,1.7672034
2017-6,1.48786
2017-7,1.55805748
2017-8,1.37877344
2017-9,0.97663225
2017-10,1.14283046
2017-11,1.43699964
2017-12,1.06545231
2018-1,1.31297204
2018-2,1.2741129
2018-3,1.70200881
2018-4,2.3466952
2018-5,1.58645996
2018-6,1.34269632
2018-7,1.33336498
2018-8,0.93745049
2018-9,1.55871508
2018-10,0.79877387
2018-11,1.1323188
2018-12,1.8573764